epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
131,713.963,0.678,0.24955,0.00213,0.92388,1,0.94571,0.68019,1.17696,0.37152,0.00308,0.00131117,0.000437057,0.00131117,0.000437057,0.00131117,0.000437057,0.00131117,0.000437057
132,719.006,0.72301,0.24972,0.00213,0.92394,1,0.94571,0.67947,1.16204,0.36556,0.0031,0.00118647,0.000395489,0.00118647,0.000395489,0.00118647,0.000395489,0.00118647,0.000395489
133,723.829,0.7047,0.23025,0.00192,0.92392,1,0.94571,0.66846,1.1462,0.36307,0.00317,0.00106783,0.000355942,0.00106783,0.000355942,0.00106783,0.000355942,0.00106783,0.000355942
134,728.907,0.70942,0.27958,0.00207,0.92416,1,0.94571,0.69069,1.11241,0.35505,0.00306,0.0009553,0.000318433,0.0009553,0.000318433,0.0009553,0.000318433,0.0009553,0.000318433
135,733.693,0.69195,0.2075,0.00214,0.92421,1,0.94571,0.67376,1.15052,0.35948,0.00307,0.000848937,0.000282979,0.000848937,0.000282979,0.000848937,0.000282979,0.000848937,0.000282979
136,738.816,0.69668,0.21936,0.00207,0.92431,1,0.94571,0.65523,1.19306,0.36729,0.00312,0.000748785,0.000249595,0.000748785,0.000249595,0.000748785,0.000249595,0.000748785,0.000249595
137,743.646,0.70756,0.22987,0.00216,0.92429,1,0.94571,0.64264,1.21073,0.37063,0.00317,0.000654887,0.000218296,0.000654887,0.000218296,0.000654887,0.000218296,0.000654887,0.000218296
138,748.758,0.72855,0.23102,0.00208,0.92427,1,0.94571,0.65116,1.19197,0.36637,0.00306,0.000567285,0.000189095,0.000567285,0.000189095,0.000567285,0.000189095,0.000567285,0.000189095
139,753.501,0.6908,0.23756,0.00208,0.92432,1,0.94571,0.6652,1.16925,0.3621,0.00298,0.000486017,0.000162006,0.000486017,0.000162006,0.000486017,0.000162006,0.000486017,0.000162006
140,758.656,0.71094,0.22599,0.00205,0.92435,1,0.94571,0.66909,1.17057,0.36042,0.00294,0.000411118,0.000137039,0.000411118,0.000137039,0.000411118,0.000137039,0.000411118,0.000137039
141,763.49,0.7194,0.23748,0.00226,0.92425,1,0.95143,0.6741,1.18784,0.36333,0.00293,0.000342622,0.000114207,0.000342622,0.000114207,0.000342622,0.000114207,0.000342622,0.000114207
142,768.608,0.68974,0.22415,0.00204,0.92426,1,0.94571,0.67458,1.18976,0.36221,0.00296,0.000280558,9.35195e-05,0.000280558,9.35195e-05,0.000280558,9.35195e-05,0.000280558,9.35195e-05
143,773.408,0.70233,0.24483,0.00203,0.92428,1,0.94571,0.67505,1.18975,0.3616,0.00296,0.000224954,7.49848e-05,0.000224954,7.49848e-05,0.000224954,7.49848e-05,0.000224954,7.49848e-05
144,778.618,0.71576,0.21451,0.00209,0.92423,1,0.95143,0.68083,1.19376,0.36269,0.00295,0.000175835,5.86115e-05,0.000175835,5.86115e-05,0.000175835,5.86115e-05,0.000175835,5.86115e-05
145,783.42,0.70393,0.22807,0.00207,0.92432,1,0.95143,0.68109,1.17622,0.36132,0.00294,0.00013322,4.44068e-05,0.00013322,4.44068e-05,0.00013322,4.44068e-05,0.00013322,4.44068e-05
146,788.586,0.65533,0.21681,0.00189,0.9243,1,0.94571,0.68042,1.14436,0.35721,0.00294,9.71305e-05,3.23768e-05,9.71305e-05,3.23768e-05,9.71305e-05,3.23768e-05,9.71305e-05,3.23768e-05
147,793.415,0.67953,0.20641,0.00197,0.92423,1,0.95143,0.68642,1.1636,0.36006,0.00296,6.75808e-05,2.25269e-05,6.75808e-05,2.25269e-05,6.75808e-05,2.25269e-05,6.75808e-05,2.25269e-05
148,798.494,0.71657,0.21516,0.00207,0.92428,1,0.95143,0.68668,1.15384,0.35874,0.00296,4.45843e-05,1.48614e-05,4.45843e-05,1.48614e-05,4.45843e-05,1.48614e-05,4.45843e-05,1.48614e-05
149,803.305,0.69947,0.20715,0.00194,0.9243,1,0.95143,0.68595,1.15037,0.35854,0.00297,2.8151e-05,9.38366e-06,2.8151e-05,9.38366e-06,2.8151e-05,9.38366e-06,2.8151e-05,9.38366e-06
150,808.398,0.70486,0.22721,0.00197,0.92428,1,0.95143,0.68618,1.14912,0.35829,0.00298,1.82881e-05,6.09603e-06,1.82881e-05,6.09603e-06,1.82881e-05,6.09603e-06,1.82881e-05,6.09603e-06
